XPosts,Xcomments,XRts,Xlikes,XCommsPPost,XRTsPPost,XlikesPPost,FBPosts,FBReactions,FBComments,FBShares,FBReactsPPost,FBCommsPPost,FBSharesPPost,IGPosts,IGLikes,IGLikesPPost,YTPosts,YTViews,YTViewsPPost,Candidate,Window,Ref. Date,Institute,Target
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-11-19,Enkoll,17
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-11-20,Mendoza Blanco,8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-11-21,Mitofsky,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-11-22,Parametría,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-11-23,Reforma,14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-15,Berumen,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-16,Covarrubias,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-17,Demotecnia,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-18,El Financiero,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-19,GEA-ISA,10
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-20,Mendoza Blanco,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-21,Mitofsky,6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-22,Parametría,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-23,Simo,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Maynez,21,2023-12-24,Citibanamex,11
49.0,7997.0,1379.0,4384.0,662.0,108.0,355.0,39.0,10871.0,2899.0,887.0,1124.0,307.0,90.0,20.0,75555.0,14699.0,6.0,476482.0,475928.0,Maynez,21,2024-01-15,Berumen,3
62.0,9431.0,1638.0,5143.0,772.0,128.0,413.0,49.0,13326.0,3536.0,1141.0,1370.0,371.0,116.0,22.0,78091.0,15967.0,6.0,476482.0,475928.0,Maynez,21,2024-01-16,Demotecnia,2
70.0,10437.0,2062.0,6147.0,898.0,181.0,539.0,54.0,14303.0,3736.0,1375.0,1565.0,411.0,162.0,27.0,94830.0,19315.0,9.0,480671.0,477324.0,Maynez,21,2024-01-17,El Financiero,10
82.0,11314.0,2373.0,7086.0,971.0,207.0,617.0,62.0,16419.0,4193.0,1722.0,1830.0,468.0,206.0,33.0,101146.0,20367.0,11.0,481692.0,477835.0,Maynez,21,2024-01-18,Enkoll,2
93.0,12350.0,2748.0,8316.0,1065.0,241.0,729.0,78.0,22296.0,5189.0,2303.0,2197.0,530.0,242.0,50.0,135071.0,22363.0,13.0,482142.0,478060.0,Maynez,21,2024-01-19,Mendoza Blanco,5
98.0,13184.0,2921.0,8799.0,1232.0,276.0,826.0,87.0,26376.0,6409.0,2603.0,2650.0,666.0,275.0,51.0,136274.0,23566.0,13.0,482142.0,478060.0,Maynez,21,2024-01-20,Mitofsky,5
108.0,14655.0,3267.0,9810.0,1379.0,310.0,927.0,97.0,29816.0,7233.0,2927.0,2994.0,748.0,308.0,60.0,149676.0,25055.0,16.0,483095.0,478377.0,Maynez,21,2024-01-21,Simo,4
89.0,16467.0,3915.0,10463.0,4176.0,933.0,2152.0,155.0,38526.0,7738.0,3998.0,4825.0,950.0,528.0,67.0,63723.0,19211.0,0.0,0.0,0.0,Maynez,21,2024-02-15,Berumen,5
80.0,15558.0,3233.0,8840.0,4389.0,907.0,2046.0,155.0,37664.0,7369.0,3733.0,4681.0,889.0,484.0,66.0,60643.0,17913.0,0.0,0.0,0.0,Maynez,21,2024-02-16,Buendía y Márquez,4
77.0,15475.0,3190.0,8690.0,4361.0,892.0,1996.0,157.0,40221.0,8385.0,3798.0,5000.0,1026.0,486.0,68.0,61256.0,17409.0,0.0,0.0,0.0,Maynez,21,2024-02-17,Demotecnia,2
77.0,16348.0,3276.0,8803.0,5234.0,978.0,2109.0,160.0,39634.0,8359.0,3779.0,4782.0,993.0,474.0,64.0,57090.0,16368.0,0.0,0.0,0.0,Maynez,21,2024-02-18,El Financiero,8
78.0,16132.0,3172.0,8214.0,5163.0,950.0,1956.0,169.0,41184.0,8814.0,3885.0,4858.0,1025.0,482.0,67.0,59240.0,17085.0,0.0,0.0,0.0,Maynez,21,2024-02-19,Mitofsky,5
74.0,15931.0,3038.0,7950.0,5177.0,943.0,1982.0,174.0,40902.0,8550.0,3876.0,4716.0,952.0,469.0,70.0,59941.0,15997.0,0.0,0.0,0.0,Maynez,21,2024-02-20,Simo,3
132.0,13114.0,7229.0,17003.0,2183.0,1317.0,2887.0,130.0,161099.0,26054.0,12383.0,28158.0,4532.0,2111.0,123.0,221863.0,39471.0,57.0,95719985.0,29316802.0,Maynez,21,2024-03-15,Altica,6
133.0,13067.0,7298.0,16975.0,2156.0,1324.0,2858.0,131.0,175428.0,29817.0,13354.0,29733.0,4948.0,2216.0,120.0,218305.0,39370.0,59.0,96538985.0,29726302.0,Maynez,21,2024-03-16,Berumen,4
133.0,12976.0,7401.0,17135.0,2138.0,1345.0,2890.0,130.0,182109.0,31524.0,14308.0,30739.0,5203.0,2356.0,118.0,218004.0,39494.0,66.0,101059373.0,30290815.0,Maynez,21,2024-03-17,Covarrubias,5
136.0,13883.0,7730.0,18133.0,2206.0,1374.0,2973.0,135.0,203082.0,34336.0,15574.0,32567.0,5446.0,2461.0,117.0,223555.0,40505.0,73.0,103316000.0,30572567.0,Maynez,21,2024-03-18,Demotecnia,2
139.0,12632.0,7676.0,18152.0,1932.0,1331.0,2915.0,142.0,225975.0,39978.0,16786.0,34557.0,5951.0,2555.0,118.0,235312.0,42677.0,76.0,104128000.0,30843234.0,Maynez,21,2024-03-19,El Financiero,7
138.0,12809.0,8000.0,18610.0,1956.0,1366.0,2970.0,141.0,244946.0,43939.0,17934.0,37305.0,6525.0,2723.0,120.0,262898.0,46452.0,79.0,105214000.0,31205234.0,Maynez,21,2024-03-20,GEA-ISA,4
143.0,13222.0,8279.0,19209.0,1969.0,1384.0,2992.0,145.0,271896.0,48853.0,18820.0,39936.0,7006.0,2799.0,122.0,277822.0,49249.0,80.0,105310000.0,31301234.0,Maynez,21,2024-03-21,Mendoza Blanco,6
147.0,12311.0,8116.0,18658.0,1630.0,1272.0,2662.0,142.0,281168.0,50139.0,19000.0,41251.0,7187.0,2878.0,120.0,285904.0,51142.0,81.0,92699000.0,18495734.0,Maynez,21,2024-03-22,Mitofsky,5
143.0,10329.0,7632.0,17485.0,1446.0,1240.0,2603.0,141.0,252277.0,43020.0,18314.0,37868.0,6323.0,2812.0,117.0,269970.0,49365.0,84.0,84040000.0,9730984.0,Maynez,21,2024-03-23,Reforma,7
139.0,10094.0,7731.0,17850.0,1485.0,1284.0,2752.0,141.0,256896.0,43090.0,18868.0,38528.0,6333.0,2891.0,117.0,279836.0,50775.0,71.0,58102000.0,8078484.0,Maynez,21,2024-03-24,Citibanamex,5
197.0,30567.0,35676.0,333576.0,2738.0,3102.0,24506.0,191.0,901299.0,74054.0,63392.0,80818.0,7101.0,6255.0,170.0,1793212.0,188891.0,34.0,39947689.0,22911745.0,Maynez,21,2024-04-15,Altica,5
199.0,31355.0,37479.0,356922.0,2833.0,3344.0,27797.0,196.0,956027.0,77484.0,68780.0,84417.0,7297.0,6658.0,176.0,2028160.0,210985.0,34.0,39947689.0,22911745.0,Maynez,21,2024-04-16,Berumen,4
201.0,31939.0,38037.0,362434.0,2891.0,3397.0,28381.0,198.0,966160.0,77601.0,69508.0,84877.0,7231.0,6709.0,177.0,2087682.0,219183.0,34.0,39947689.0,22911745.0,Maynez,21,2024-04-17,Covarrubias,7
204.0,32599.0,38499.0,369104.0,2951.0,3431.0,29082.0,200.0,998462.0,78794.0,71472.0,87822.0,7313.0,6882.0,180.0,2222061.0,235686.0,35.0,39977689.0,22941745.0,Maynez,21,2024-04-18,El Financiero,8
212.0,33132.0,39656.0,382857.0,2859.0,3482.0,29931.0,205.0,1012726.0,80182.0,72873.0,87180.0,7202.0,6926.0,185.0,2382343.0,250506.0,34.0,39940689.0,22904745.0,Maynez,21,2024-04-19,Enkoll,6
218.0,33970.0,40428.0,390334.0,2894.0,3529.0,30463.0,209.0,1039327.0,82653.0,79346.0,89410.0,7406.0,7503.0,220.0,2967989.0,264552.0,34.0,39929689.0,22893745.0,Maynez,21,2024-04-20,GEA-ISA,6
230.0,35317.0,42536.0,408690.0,2921.0,3645.0,31659.0,215.0,1069117.0,86010.0,82304.0,91411.0,7628.0,7701.0,225.0,3084490.0,274568.0,35.0,39818798.0,22827281.0,Maynez,21,2024-04-21,Mendoza Blanco,11
245.0,37125.0,43569.0,422361.0,2922.0,3663.0,32115.0,218.0,1091024.0,87739.0,86807.0,92535.0,7722.0,8049.0,226.0,3266541.0,292250.0,34.0,35117798.0,20491781.0,Maynez,21,2024-04-22,Mitofsky,9
254.0,37603.0,43961.0,426815.0,2924.0,3652.0,32345.0,223.0,1153167.0,95238.0,91275.0,97856.0,8376.0,8415.0,233.0,3395973.0,297971.0,32.0,31843798.0,19392781.0,Maynez,21,2024-04-23,Parametría,8
257.0,37421.0,43956.0,429056.0,2886.0,3638.0,32516.0,228.0,1150778.0,95954.0,92464.0,96360.0,8336.0,8462.0,237.0,3419333.0,297722.0,30.0,28209798.0,17575781.0,Maynez,21,2024-04-24,Citibanamex,7
336.0,102198.0,52311.0,412208.0,6625.0,3249.0,24833.0,265.0,913146.0,74010.0,69156.0,64403.0,5575.0,5262.0,264.0,3541238.0,271553.0,45.0,20363000.0,8740500.0,Maynez,21,2024-05-15,Altica,7
340.0,123418.0,59213.0,434005.0,7930.0,3664.0,25966.0,267.0,894778.0,72980.0,68926.0,62492.0,5439.0,5219.0,260.0,3414428.0,266659.0,48.0,17677598.0,7352020.0,Maynez,21,2024-05-16,Berumen,9
337.0,128711.0,61674.0,443153.0,8296.0,3843.0,26701.0,266.0,906331.0,74874.0,69320.0,63606.0,5612.0,5268.0,261.0,3420841.0,266473.0,49.0,17722598.0,7397020.0,Maynez,21,2024-05-17,Mitofsky,10
